0.0,276.0,775.0,0.9409
1.0,221.0,782.0,0.5389
2.0,117.0,845.0,0.0552
3.0,212.0,926.0,0.1945
4.0,95.0,946.0,0.0611
5.0,88.0,855.0,0.0554
6.0,136.0,928.0,0.0623
7.0,125.0,1042.0,0.0539
8.0,90.0,1030.0,0.0699
9.0,252.0,1030.0,0.2488
10.0,114.0,961.0,0.0637
11.0,198.0,999.0,0.1031
12.0,240.0,961.0,0.2525
13.0,255.0,882.0,0.5175
14.0,225.0,1057.0,0.1171
15.0,229.0,977.0,0.1807
16.0,190.0,925.0,0.1015
17.0,110.0,932.0,0.0621
18.0,102.0,940.0,0.0681
19.0,125.0,907.0,0.0553
20.0,68.0,1007.0,0.0934
21.0,159.0,1009.0,0.0628
22.0,228.0,939.0,0.1969
23.0,110.0,929.0,0.0641
24.0,283.0,936.0,0.5769
25.0,120.0,903.0,0.0609
26.0,142.0,927.0,0.0619
27.0,127.0,943.0,0.0637
28.0,163.0,892.0,0.0753
29.0,111.0,905.0,0.067
30.0,107.0,847.0,0.0609
31.0,73.0,907.0,0.1031
32.0,103.0,910.0,0.0686
33.0,123.0,959.0,0.0573
34.0,134.0,893.0,0.0549
35.0,107.0,836.0,0.0624
36.0,259.0,836.0,0.5689
37.0,167.0,872.0,0.075
38.0,216.0,924.0,0.1371
39.0,231.0,955.0,0.1598
40.0,263.0,895.0,0.448
41.0,129.0,965.0,0.0596
42.0,93.0,895.0,0.0828
43.0,102.0,946.0,0.0745
44.0,56.0,903.0,0.1498
45.0,80.0,969.0,0.1045
46.0,67.0,957.0,0.1356
47.0,138.0,889.0,0.0668
48.0,198.0,1125.0,0.065
49.0,253.0,979.0,0.1851
50.0,296.0,954.0,0.5047
51.0,210.0,872.0,0.1359
52.0,197.0,744.0,0.2155
53.0,153.0,695.0,0.0918
54.0,85.0,699.0,0.0738
55.0,64.0,730.0,0.114
56.0,148.0,622.0,0.1262
57.0,192.0,661.0,0.3307
58.0,96.0,637.0,0.0628
59.0,71.0,553.0,0.0733
60.0,140.0,632.0,0.0915
61.0,152.0,559.0,0.2174
62.0,198.0,700.0,0.2703
63.0,165.0,804.0,0.0771
64.0,162.0,865.0,0.0719
65.0,149.0,754.0,0.0772
66.0,184.0,823.0,0.0939
67.0,116.0,848.0,0.0789
68.0,124.0,863.0,0.0755
69.0,108.0,935.0,0.0883
70.0,106.0,831.0,0.0891
71.0,42.0,839.0,0.2824
72.0,134.0,1004.0,0.0825
73.0,139.0,870.0,0.0693
74.0,157.0,892.0,0.0638
75.0,149.0,539.0,0.2034
76.0,77.0,455.0,0.0674
77.0,151.0,459.0,0.523
78.0,114.0,592.0,0.0678
79.0,224.0,590.0,0.8488
80.0,267.0,578.0,0.9903
81.0,261.0,568.0,0.9931
82.0,180.0,607.0,0.2707
83.0,60.0,562.0,0.1247
84.0,238.0,605.0,0.8837
85.0,86.0,563.0,0.0765
86.0,139.0,613.0,0.0891
87.0,191.0,630.0,0.2918
88.0,134.0,638.0,0.079
89.0,120.0,702.0,0.0699
90.0,79.0,681.0,0.1144
91.0,85.0,550.0,0.0769
92.0,85.0,595.0,0.0837
93.0,62.0,666.0,0.1752
94.0,68.0,584.0,0.1168
95.0,112.0,539.0,0.0776
96.0,114.0,561.0,0.0671
97.0,53.0,539.0,0.1713
98.0,123.0,534.0,0.0844
99.0,91.0,548.0,0.0788
100.0,110.0,517.0,0.0736
101.0,49.0,507.0,0.1865
102.0,57.0,437.0,0.1066
103.0,104.0,429.0,0.0913
104.0,79.0,488.0,0.0783
105.0,84.0,441.0,0.0728
106.0,90.0,420.0,0.0714
107.0,35.0,415.0,0.2496
108.0,93.0,438.0,0.0721
109.0,114.0,436.0,0.115
110.0,77.0,457.0,0.0814
111.0,76.0,452.0,0.081
112.0,120.0,469.0,0.1006
113.0,84.0,479.0,0.0849
114.0,108.0,498.0,0.0747
115.0,79.0,503.0,0.0891
116.0,94.0,470.0,0.075
117.0,99.0,489.0,0.0774
118.0,144.0,441.0,0.3169
119.0,56.0,412.0,0.1279
120.0,86.0,428.0,0.0734
121.0,167.0,364.0,0.985
122.0,108.0,393.0,0.1265
123.0,71.0,322.0,0.083
124.0,66.0,263.0,0.0939
125.0,78.0,247.0,0.2435
126.0,67.0,246.0,0.1137
127.0,68.0,270.0,0.0963
128.0,72.0,263.0,0.1178
129.0,168.0,306.0,0.9993
130.0,156.0,240.0,1.0
131.0,117.0,283.0,0.8472
132.0,96.0,264.0,0.5004
133.0,66.0,208.0,0.2361
134.0,142.0,270.0,0.9995
135.0,137.0,291.0,0.9878
136.0,112.0,267.0,0.8629
137.0,68.0,264.0,0.0924
138.0,48.0,257.0,0.0883
139.0,127.0,259.0,0.9865
140.0,94.0,338.0,0.1109
141.0,99.0,581.0,0.0997
142.0,70.0,363.0,0.0828
143.0,48.0,270.0,0.0944
